stock name,last traded price,haircut percentage,post haircut value
AARTIPHARM,713.45,0.2,570760.0000000001
DEEPAKNTR,1933.9,0.2,1547120.0000000002
TVSSCS,112.74,0.2,90192.0
NFL,81.67,0.2066,64796.977999999996
MARUTI,11855.0,0.09,10788050.000000002
HYUNDAI,1653.9,0.2,1323120.0000000002
SWANENERGY,413.95,0.2325,317706.625
RAJESHEXPO,191.59,0.2,153272.00000000003
BLUESTARCO,2023.6,0.2,1618880.0
SGBJAN29IX,8728.23,0.1,7855407.0
BECTORFOOD,1586.4,0.2,1269120.0000000002
INDIAGLYCO,1376.9,0.2,1101520.0000000002
PGEL,956.0,0.24760000000000001,719294.4
PREMIERENE,929.15,0.2,743320.0
SGBSEP27,8800.0,0.1,7920000.0
SGBNOV25VI,8925.0,0.1,8032500.0
RECLTD,423.3,0.2,338640.00000000006
SGBAUG27,8873.2,0.1,7985880.000000001
SGBMAY26,8990.0,0.1,8091000.0
FLUOROCHEM,3915.5,0.2,3132400.0
GOLDCASE,14.72,0.2,11776.000000000002
PAGEIND,45210.0,0.2,36168000.0
EICHERMOT,5529.0,0.1079,4932420.9
NMDC,65.14,0.2,52112.0
KIRLOSENG,732.7,0.2,586160.0000000001
MOIL,316.4,0.2,253120.0
ANANTRAJ,476.45,0.259,353049.44999999995
ETERNAL,222.23,0.1766,182984.182
LMW,15595.0,0.2,12476000.0
TIINDIA,2570.7,0.2,2056560.0
CHAMBLFERT,664.0,0.2,531200.0
QPOWER,337.25,0.2,269800.0
SGBNOV25,8925.0,0.1,8032500.0
HSCL,449.5,0.2,359600.0
RCF,133.03,0.2073,105452.881
NCC,215.91,0.2,172728.0
IREDA,166.98,0.21280000000000002,131446.656
STOVEKRAFT,659.55,0.2,527640.0
VENUSPIPES,1326.7,0.2,1061360.0000000002
TITAN,3273.4,0.0935,2967337.1
BASF,4543.6,0.2,3634880.0000000005
NIFTYIETF,259.64,0.06,244061.59999999998
HDFCBANK,1864.9,0.09,1697059.0000000002
HINDALCO,617.6,0.1328,535582.72
TRANSRAILL,491.25,0.2,393000.0
LIQUIDBEES,1000.0,0.05,950000.0
TATACONSUM,1103.4,0.09960000000000001,993501.3600000001
SENORES,562.25,0.2,449800.0
SGBMAR30X,8759.38,0.1,7883441.999999999
TANLA,483.5,0.2,386800.0
TORNTPHARM,3221.8,0.2,2577440.0000000005
INOXGREEN,143.02,0.2522,106950.35600000001
YESBANK,17.52,0.2,14016.0
COLPAL,2513.7,0.2,2010960.0
IGIL,339.55,0.2,271640.00000000006
SGBJUN30,8854.88,0.1,7969392.0
SHRIRAMPPS,75.45,0.207,59831.850000000006
SGBOCT25IV,8875.0,0.1,7987500.0
DMART,4212.7,0.2,3370160.0
SANOFI,6183.5,0.2,4946800.0
LAXMIDENTL,413.05,0.2,330440.00000000006
SULA,282.2,0.2,225760.0
ABSLLIQUID,1000.0,0.05,950000.0
INDUSTOWER,380.45,0.2,304360.0
UCOBANK,29.53,0.2,23624.000000000004
DOMS,2628.8,0.2,2103040.0000000005
AADHARHFC,467.7,0.2,374160.0
JUNIORBEES,677.29,0.0732,627712.372
KFINTECH,1007.2,0.21850000000000003,787126.8
FORTIS,669.25,0.2,535400.0
BERGEPAINT,526.4,0.2,421120.0
OIL,365.95,0.2,292760.0
SCHNEIDER,615.35,0.2,492280.00000000006
ITC,420.4,0.09,382563.99999999994
EMAMILTD,604.7,0.2,483760.00000000006
EBBETF0431,1334.58,0.2,1067664.0
DRREDDY,1154.9,0.09,1050959.0
3MINDIA,30385.0,0.2,24308000.0
GUJGASLTD,432.4,0.2,345920.0
CONSUMBEES,122.14,0.2,97712.0
LTF,158.64,0.2,126911.99999999999
ADVENZYMES,288.55,0.2,230840.00000000003
VTL,485.35,0.2,388280.00000000006
ICICIB22,103.6,0.2,82880.0
JYOTHYLAB,371.5,0.2,297200.0
INDIANB,541.25,0.2,433000.0
MANKIND,2426.1,0.2,1940880.0
SARDAEN,485.6,0.205,386052.0
GMDCLTD,287.0,0.20420000000000002,228394.6
SGLTL,140.88,0.2,112704.00000000001
ASTRAL,1294.3,0.2,1035440.0
SONACOMS,462.55,0.2,370040.0
HAVELLS,1571.7,0.2,1257360.0000000002
INTELLECT,751.8,0.20010000000000003,601364.82
WAAREEENER,2218.5,0.2,1774800.0000000002
SAFARI,2114.6,0.2,1691680.0
PFIZER,4197.9,0.2,3358319.9999999995
MCX,5581.5,0.2,4465200.0
GROWWGOLD,91.95,0.2,73560.0
ARVIND,342.55,0.2,274040.0
NORTHARC,193.23,0.2,154584.0
DCBBANK,118.02,0.2,94416.0
RRKABEL,934.2,0.2,747360.0000000001
JSWINFRA,305.0,0.2,244000.0
BIOCON,328.85,0.2,263080.00000000006
BIRLACORPN,1134.1,0.2,907280.0
PIIND,3589.4,0.2,2871520.0000000005
INDUSINDBK,735.9,0.1989,589529.49
TATAPOWER,378.5,0.2,302800.0
